,Technical/muscle (Mes),Technical/muscle (Imm),Technical/muscle (PCT),Technical/muscle (EC),Technical/muscle
D4,391.0,53.0,30.0,36.0,5.0
D5,1.0,3.0,11.0,1.0,2.0
D6,1.0,0.0,0.0,0.0,0.0
D7,112.0,9.0,17.0,14.0,5.0
D8,1276.0,288.0,148.0,139.0,151.0
D10,0.0,0.0,10.0,0.0,0.0
D11,0.0,0.0,24.0,0.0,0.0
D12,19.0,2.0,0.0,0.0,0.0
D14,1.0,0.0,11.0,0.0,0.0
D15,0.0,2.0,16.0,2.0,0.0
D17,4.0,50.0,14.0,2.0,1.0
D25,2.0,2.0,6.0,0.0,0.0
D26,1.0,1.0,1.0,1.0,0.0
D28,0.0,5.0,7.0,0.0,0.0
D29,0.0,0.0,0.0,0.0,0.0
D30,0.0,0.0,0.0,0.0,0.0
